affiliate_id;created_at;date;updated_at;amount;status;type;fee_id
70;2017-05-01 00:00:00;2017-05-01 00:00:00;2017-02-22;20;Pagado;cash;1
70;2017-06-01 00:00:00;2017-06-01 00:00:00;2017-03-15;20;Pagado;cash;1
70;2017-07-01 00:00:00;2017-11-01 00:00:00;2017-10-11;100;Pagado;cash;1
70;2017-12-01 00:00:00;2018-12-01 00:00:00;2018-11-20;260;Pagado;cash;1
70;2019-01-01 00:00:00;2019-12-01 00:00:00;2019-11-21;240;Pagado;cash;1
70;2020-01-01 00:00:00;2020-07-01 00:00:00;2020-12-28;140;Pagado;cash;1
71;2000-03-01 00:00:00;2005-09-01 00:00:00;2005-10-05;1140;Pagado;cash;1
73;2001-07-01 00:00:00;2001-12-01 00:00:00;2002-05-17;120;Pagado;cash;1
73;2002-01-01 00:00:00;2002-03-01 00:00:00;2002-07-16;60;Pagado;cash;1
73;2002-04-01 00:00:00;2002-08-01 00:00:00;2002-09-13;100;Pagado;cash;1
73;2002-10-01 00:00:00;2005-11-01 00:00:00;2005-12-16;760;Pagado;cash;1
74;1996-05-01 00:00:00;1999-02-01 00:00:00;2003-10-09;340;Pagado;cash;1
74;1999-03-01 00:00:00;2000-09-01 00:00:00;2003-11-08;380;Pagado;cash;1
80;2001-05-01 00:00:00;2002-02-01 00:00:00;2002-02-25;200;Pagado;cash;1
80;2002-03-01 00:00:00;2002-05-01 00:00:00;2002-06-19;60;Pagado;cash;1
80;2002-06-01 00:00:00;2002-10-01 00:00:00;2002-12-20;100;Pagado;cash;1
80;2002-11-01 00:00:00;2003-08-01 00:00:00;2010-02-24;200;Pagado;cash;1
88;1980-01-01 00:00:00;1989-12-01 00:00:00;2013-03-22;2400;Pagado;cash;1
88;1990-03-01 00:00:00;1990-11-01 00:00:00;2013-03-25;180;Pagado;cash;1
96;2000-03-01 00:00:00;2001-02-01 00:00:00;2002-06-18;240;Pagado;cash;1
96;2001-03-01 00:00:00;2001-12-01 00:00:00;2002-07-19;200;Pagado;cash;1
96;2004-06-01 00:00:00;2004-11-01 00:00:00;2004-11-30;120;Pagado;cash;1
97;2002-04-01 00:00:00;2003-06-01 00:00:00;2023-11-13;300;Pagado;cash;1
97;2003-07-01 00:00:00;2004-09-01 00:00:00;2023-11-13;300;Pagado;cash;1
97;2004-10-01 00:00:00;2005-12-01 00:00:00;2023-12-07;300;Pagado;cash;1
98;1996-01-01 00:00:00;2002-04-01 00:00:00;2005-10-12;1040;Pagado;cash;1
98;2002-05-01 00:00:00;2005-07-01 00:00:00;2005-11-25;780;Pagado;cash;1
98;2005-08-01 00:00:00;2005-09-01 00:00:00;2005-11-28;40;Pagado;cash;1
99;2004-07-01 00:00:00;2004-09-01 00:00:00;2004-09-17;60;Pagado;cash;1
99;2004-12-01 00:00:00;2005-05-01 00:00:00;2005-05-31;120;Pagado;cash;1
99;2005-06-01 00:00:00;2009-12-01 00:00:00;2021-03-11;1100;Pagado;cash;1
100;2004-12-01 00:00:00;2005-04-01 00:00:00;2005-04-26;100;Pagado;cash;1
112;1979-12-01 00:00:00;1999-02-01 00:00:00;2005-11-16;2310;Pagado;cash;1
112;1999-03-01 00:00:00;1999-06-01 00:00:00;2005-11-16;80;Pagado;cash;1
114;2001-12-01 00:00:00;2001-12-01 00:00:00;2002-01-28;20;Pagado;cash;1
